Veteran,LoanAmountRequested,Status,PropertyState
1,325000,2,WA
1,325000,2,WA
1,325000,2,WA
1,325000,2,WA
0,290000,2,MN
0,290000,2,MN
0,290000,2,MN
0,290000,2,MN
0,1544000,1,CA
0,1544000,1,CA
0,1544000,1,CA
0,1544000,1,CA
0,190000,2,CA
0,190000,2,CA
0,190000,2,CA
0,190000,2,CA
0,190000,2,CA
1,90000,1,FL
0,250000,2,OR
0,250000,2,OR
0,250000,2,OR
0,250000,2,OR
0,250000,2,OR
0,260000,2,AZ
0,260000,1,AZ
0,260000,2,AZ
0,260000,2,AZ
0,260000,2,AZ
0,225000,1,TX
0,225000,1,TX
0,210000,1,FL
0,60000,2,NY
0,80000,2,CA
1,170000,1,TX
0,425000,1,DC
0,425000,1,DC
0,425000,1,DC
0,310000,2,CA
0,310000,2,CA
1,60000,2,IL
1,60000,2,IL
1,60000,2,IL
1,60000,2,IL
1,60000,2,IL
0,475000,2,UT
0,475000,2,UT
0,475000,2,UT
0,475000,2,UT
0,475000,2,UT
0,68000,1,SC
0,631000,1,WA
0,631000,1,WA
0,631000,1,WA
0,631000,1,WA
0,631000,1,WA
0,400000,1,CO
0,400000,1,CO
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,2,TX
0,375000,1,TX
0,375000,2,TX
0,250000,1,MI
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,150000,2,ID
0,160000,2,GA
0,160000,2,GA
0,100000,2,CO
0,100000,2,CO
0,100000,2,CO
0,100000,2,CO
0,350000,2,MA
0,350000,2,MA
0,350000,2,MA
0,350000,2,MA
0,350000,2,MA
0,140000,2,NH
0,140000,2,NH
0,140000,2,AR
0,140000,2,AR
0,140000,2,AR
0,140000,2,AR
0,140000,2,AR
1,100000,2,IL
1,100000,2,IL
1,100000,2,IL
1,100000,0,IL
1,100000,2,IL
1,100000,2,IL
1,100000,2,IL
1,100000,2,IL
1,100000,2,IL
1,100000,2,IL
1,70000,2,PA
1,385000,1,NY
0,60000,2,AZ
0,190000,2,AZ
0,190000,1,AZ
0,250000,2,CA
0,250000,2,CA
0,250000,2,CA
0,250000,2,CA
0,250000,2,CA
0,150000,2,IA
0,150000,2,IA
0,150000,1,IA
0,150000,2,IA
0,150000,1,CT
0,85000,2,MO
0,85000,2,MO
0,85000,2,MO
0,85000,2,MO
0,105000,2,NM
0,105000,2,NM
0,105000,1,NM
0,105000,2,NM
0,105000,2,NM
0,155000,1,NJ
0,170000,1,CA
0,130000,2,TX
0,130000,2,TX
0,130000,2,TX
0,130000,2,TX
0,110000,2,OH
0,110000,2,OH
0,115000,2,IA
0,115000,2,IA
0,115000,2,IA
0,115000,2,IA
0,115000,1,IA
0,181000,1,FL
0,181000,1,FL
1,200000,2,NC
1,200000,2,NC
